SCHOOL_ID,SCHOOL_NM,SCH_ADDR,the_geom,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610529,OGDEN HS,"1250 W ERIE ST, 60642",POINT (-87.65940468081217 41.89354764053025),HS,"7, 8, 9, 10, 11","District, non-alternative",-87.659404681,41.8935476416
610102,OGLESBY,"7646 S GREEN ST, 60620",POINT (-87.64546949571562 41.754670060284965),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6454694953,41.7546700611
610103,O'KEEFFE,"6940 S MERRILL AVE, 60649",POINT (-87.57280595141735 41.768602308260895),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5728059514,41.7686023091
610104,ONAHAN,"6634 W RAVEN ST, 60631",POINT (-87.79310825532602 41.99379035166874),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7931082549,41.9937903527
610105,ORIOLE PARK,"5424 N OKETO AVE, 60656",POINT (-87.81205404457212 41.978501378827524),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.8120540445,41.9785013799
610329,OROZCO,"1940 W 18TH ST, 60608",POINT (-87.67521045408394 41.85775481082097),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6752104546,41.8577548117
610389,ORR HS,"730 N PULASKI RD, 60624",POINT (-87.72616632739228 41.89444882701399),HS,"9, 10, 11, 12","District, non-alternative",-87.7261663272,41.8944488278
610107,OTIS,"525 N ARMOUR ST, 60642",POINT (-87.66542623345727 41.89180608574297),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6654262332,41.8918060866
610108,O'TOOLE,"6550 S SEELEY AVE, 60636",POINT (-87.67509659705338 41.77416379516842),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6750965965,41.7741637963
610277,OVERTON,"221 E 49TH ST, 60615",POINT (-87.6201152033006 41.805603343290095),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6201152034,41.8056033444
610109,OWEN,"8247 S CHRISTIANA AVE, 60652",POINT (-87.70574908540388 41.7428499177316),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7057490854,41.7428499189
609932,OWENS,"12450 S STATE ST, 60628",POINT (-87.62238607820346 41.6673727259099),ES,"PK, K, 1, 2, 3, 4","District, non-alternative",-87.6223860779,41.6673727271
610273,PADEREWSKI,"2221 S LAWNDALE AVE, 60623",POINT (-87.7173027984687 41.850944825751775),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7173027984,41.8509448269
610111,PALMER,"5051 N KENNETH AVE, 60630",POINT (-87.73921294906002 41.97328939332166),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7392129496,41.9732893942
609711,HARPER HS,"6520 S WOOD ST, 60636",POINT (-87.66908929163081 41.77512408030385),HS,"9, 10, 11, 12","District, non-alternative",-87.6690892916,41.7751240813
609969,HARTE,"1556 E 56TH ST, 60637",POINT (-87.58685459311963 41.7934472402134),ES,"PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.5868545932,41.7934472409
609971,HARVARD,"7525 S HARVARD AVE, 60620",POINT (-87.63273687182787 41.75734054050999),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6327368716,41.7573405411
609972,HAUGAN,"4540 N HAMLIN AVE, 60625",POINT (-87.72312803252429 41.96402871288588),ES,"PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.7231280322,41.9640287139
609974,HAWTHORNE,"3319 N CLIFTON AVE, 60657",POINT (-87.65770887588906 41.94227549163754),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6577088755,41.9422754923
609975,HAY,"1018 N LARAMIE AVE, 60651",POINT (-87.7558132539527 41.899171356652005),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7558132538,41.8991713576
609976,HAYT,"1518 W GRANVILLE AVE, 60660",POINT (-87.66850377221704 41.994540889279584),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6685037722,41.9945408901
609979,HEALY,"3010 S PARNELL AVE, 60616",POINT (-87.64034074621149 41.839594858198595),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6403407462,41.8395948589
609981,HEARST,"4640 S LAMON AVE, 60638",POINT (-87.74572606288665 41.808174999273184),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7457260624,41.8081750003
609983,HEDGES,"4747 S WINCHESTER AVE, 60609",POINT (-87.67332725897988 41.80711213143929),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6733272587,41.8071121325
609985,HEFFERAN,"4409 W WILCOX ST, 60624",POINT (-87.73580189704128 41.87866464959046),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7358018968,41.8786646506
609986,HENDERSON,"5650 S WOLCOTT AVE, 60636",POINT (-87.67188730722383 41.79059128467467),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6718873069,41.7905912851
609987,HENDRICKS,"4316 S PRINCETON AVE, 60609",POINT (-87.63366447369806 41.81578774813853),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6336644732,41.8157877492
609988,HENRY,"4250 N ST LOUIS AVE, 60618",POINT (-87.71563236685813 41.958988798787175),ES,"PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.7156323667,41.9589887998
610240,HENSON,"1326 S AVERS AVE, 60623",POINT (-87.72154976465022 41.863564723837094),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7215497644,41.863564725
609989,HERBERT,"2131 W MONROE ST, 60612",POINT (-87.68031496415138 41.87986982094617),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.680314964,41.8798698218
610532,HERNANDEZ,"3510 W 55TH ST, 60632",POINT (-87.71136992375675 41.793479327463935),MS,"6, 7, 8","District, non-alternative",-87.7113699239,41.7934793282
400075,UNIV OF CHGO CHTR-DONOGHUE,"707 E 37TH ST, 60653",POINT (-87.60850077601958 41.82772607730622),ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.6085007756,41.8277260785
400076,UNIV OF CHGO CHTR-NKO,"1119 E 46TH ST, 60653",POINT (-87.59851933416013 41.81136167679246),ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.5985193338,41.8113616779
400077,UNIV OF CHGO CHTR-WOODLAWN,"6420 S UNIVERSITY AVE, 60637",POINT (-87.59811391691477 41.778129696685504),HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.5981139173,41.7781296979
400112,UNO CHTR-51ST - HOMAN,"3434 W 51ST ST, 60632",POINT (-87.7101535187815 41.80081552458554),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7101535185,41.8008155254
400081,UNO CHTR-DE LAS CASAS,"1641 W 16TH ST, 60608",POINT (-87.66794916591495 41.85950401018131),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6679491655,41.8595040111
400082,UNO CHTR-FUENTES,"2845 W BARRY AVE, 60618",POINT (-87.69959364902631 41.93747577599535),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6995936493,41.9374757768
400101,UNO CHTR  - SANDRA CISNEROS,"2744 W PERSHING RD, 60632",POINT (-87.69399615717815 41.822883739544494),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6939961572,41.8228837399
400085,UNO CHTR - MAJOR HECTOR P.GARCIA,"4248 W 47TH ST, 60632",POINT (-87.7303597071647 41.807867504500486),HS,"9, 10, 11, 12",Charter,-87.7303597067,41.8078675055
610506,TEAM HS,"6201 S STEWART AVE, 60621",POINT (-87.63497868085045 41.78150577705756),HS,"9, 10, 11, 12","District, non-alternative",-87.6349786805,41.7815057778
609921,TELPOCHCALLI,"2832 W 24TH BLVD, 60623",POINT (-87.69663084047832 41.84795090065948),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69663084,41.8479509017
610504,THOMAS,"3625 S HOYNE AVE, 60609",POINT (-87.67754184885891 41.827774910972835),ES,PK,"District, Special Ed.",-87.6775418483,41.8277749122
610200,"THORP, J","8914 S BUFFALO AVE, 60617",POINT (-87.54447844467616 41.73332914610987),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5444784442,41.7333291469
610201,"THORP, O","6024 W WARWICK AVE, 60634",POINT (-87.77763129835648 41.94857131237774),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7776312982,41.9485713131
610375,TILDEN AA,"4747 S UNION AVE, 60609",POINT (-87.6429664811512 41.8075100700515),HS,"9, 10",High School,-87.6429664808,41.807510071
609735,TILDEN HS (&AA),"4747 S UNION AVE, 60609",POINT (-87.6429664811512 41.8075100700515),HS,"9, 10, 11, 12","District, non-alternative",-87.6429664808,41.807510071
610065,TILL,"6543 S CHAMPLAIN AVE, 60637",POINT (-87.60935720865564 41.77542383996704),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6093572085,41.7754238407
610202,TILTON,"223 N KEELER AVE, 60624",POINT (-87.73056638342959 41.88410224305368),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.730566383,41.8841022438
610203,TONTI,"5815 S HOMAN AVE, 60629",POINT (-87.70817918402426 41.78752323015683),ES,"K, 1, 2, 3, 4, 5","District, non-alternative",-87.708179184,41.7875232311
610205,TRUMBULL,"5200 N ASHLAND AVE, 60640",POINT (-87.66972453187925 41.97619851402548),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6697245319,41.9761985152
610229,PRITZKER,"2009 W SCHILLER ST, 60622",POINT (-87.67776097466991 41.90705300696484),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6777609752,41.907053008
400070,PROLOGUE HS,"1135 N CLEAVER ST, 60642",POINT (-87.6637040126519 41.90289780287139),HS,"9, 10, 11, 12",Alternative/Contract,-87.6637040127,41.9028978037
400109,PROLOGUE-JOHNSTON CHTR HS,"1549 W 95TH ST, 60643",POINT (-87.66235834768572 41.72113722782958),HS,"9, 10, 11, 12",Alternative/Charter,-87.6623583476,41.721137229
609679,PROSSER HS,"2148 N LONG AVE, 60639",POINT (-87.76104831920779 41.92005940171681),HS,"9, 10, 11, 12","District, non-alternative",-87.7610483193,41.9200594023
400071,PROVIDENCE CHTR-BUNCHE,"6515 S ASHLAND AVE, 60636",POINT (-87.66399582599819 41.775367365955574),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.663995826,41.7753673667
610137,PRUSSING,"4650 N MENARD AVE, 60630",POINT (-87.77241416988358 41.9656190735731),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7724141698,41.9656190745
610138,PULASKI,"2230 W MCLEAN AVE, 60647",POINT (-87.68380142942414 41.91848627953721),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6838014296,41.9184862807
610139,PULLMAN,"11311 S FORRESTVILLE AVE, 60628",POINT (-87.60943096502469 41.68881935307556),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6094309649,41.688819354
610334,RABY HS,"3545 W FULTON BLVD, 60624",POINT (-87.71542311990193 41.8862100602605),HS,"9, 10, 11, 12","District, non-alternative",-87.7154231197,41.8862100612
609941,RANDOLPH,"7316 S HOYNE AVE, 60636",POINT (-87.67596551116446 41.76061412580968),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6759655108,41.7606141268
610141,RAVENSWOOD,"4332 N PAULINA ST, 60613",POINT (-87.67092241556036 41.96074569354228),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6709224154,41.9607456947
610142,RAY,"5631 S KIMBARK AVE, 60637",POINT (-87.59475207203288 41.79234787928085),ES,"PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.5947520723,41.7923478802
610143,REAVIS,"834 E 50TH ST, 60615",POINT (-87.60492543168046 41.804173788275826),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6049254316,41.8041737893
610264,REED,"6350 S STEWART AVE, 60621",POINT (-87.63511669356085 41.77836949651182),ES,"3, 4, 5, 6, 7, 8",Elementary School,-87.6351166937,41.7783694975
610144,REILLY,"3650 W SCHOOL ST, 60618",POINT (-87.71954053937334 41.94109399251493),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7195405392,41.9410939937
610145,REINBERG,"3425 N MAJOR AVE, 60634",POINT (-87.76898262235966 41.94301889791256),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7689826226,41.9430188988
610146,REVERE,"1010 E 72ND ST, 60619",POINT (-87.6001768197265 41.76419585978896),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9","District, non-alternative",-87.6001768193,41.7641958608
609682,RICHARDS HS,"5009 S LAFLIN ST, 60609",POINT (-87.66227784468357 41.80288137406752),HS,"9, 10, 11, 12","District, non-alternative",-87.6622778446,41.8028813752
610390,RICKOVER HS,"5900 N GLENWOOD AVE, 60660",POINT (-87.66522476263331 41.9890324472425),HS,"9, 10, 11, 12","District, non-alternative",-87.6652247623,41.9890324482
610374,ROBESON AA,"6835 S NORMAL BLVD, 60621",POINT (-87.63715271295727 41.76971379289224),HS,"9, 10",High School,-87.6371527124,41.7697137938
609707,ROBESON HS (&AA),"6835 S NORMAL BLVD, 60621",POINT (-87.63715271295727 41.76971379289224),HS,"9, 10, 11, 12","District, non-alternative",-87.6371527124,41.7697137938
610256,ROBINSON,"4225 S LAKE PARK AVE, 60653",POINT (-87.59906676983158 41.81734932222726),ES,"PK, K, 1, 2, 3","District, non-alternative",-87.5990667698,41.817349323
610147,ROGERS,"7345 N WASHTENAW AVE, 60645",POINT (-87.69718539009077 42.0152650491469),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6971853897,42.01526505
609728,ROOSEVELT HS,"3436 W WILSON AVE, 60625",POINT (-87.71481861434995 41.96482788828008),HS,"9, 10, 11, 12","District, non-alternative",-87.7148186138,41.9648278893
610150,ROSS,"6059 S WABASH AVE, 60637",POINT (-87.62368943481071 41.78379692388002),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6236894345,41.7837969246
400096,ROWE,"1424 N CLEAVER ST, 60642",POINT (-87.66407246489905 41.90779718003707),ES,"K, 1, 2, 3, 4",Charter,-87.6640724647,41.9077971812
610308,RUDOLPH,"110 N PAULINA ST, 60612",POINT (-87.66947670561827 41.88356816984407),ES,"PK, K, 1, 2, 3, 4, 5","District, Special Ed.",-87.6694767052,41.8835681707
610152,RUGGLES,"7831 S PRAIRIE AVE, 60619",POINT (-87.61806644619863 41.75194557434461),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6180664462,41.7519455752
610125,RUIZ,"2410 S LEAVITT ST, 60608",POINT (-87.68074453116934 41.84810094369656),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.680744531,41.8481009447
610153,RYDER,"8716 S WALLACE ST, 60620",POINT (-87.63884269794485 41.73537938935889),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6388426974,41.7353793898
610154,RYERSON,"646 N LAWNDALE AVE, 60624",POINT (-87.71879729062479 41.89323561099249),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7187972905,41.8932356121
610342,SABIN,"2216 W HIRSCH ST, 60622",POINT (-87.68304993825741 41.90681581355334),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6830499378,41.9068158147
610250,SALAZAR,"160 W WENDELL ST, 60610",POINT (-87.6337307194216 41.90141713519549),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6337307191,41.9014171362
610226,SANDOVAL,"5534 S ST LOUIS AVE, 60629",POINT (-87.71098732826252 41.79234608200581),ES,"PK, K, 1, 2, 3, 4, 5","District, non-alternative",-87.7109873277,41.7923460832
610017,SAUCEDO,"2850 W 24TH BLVD, 60623",POINT (-87.69731553617862 41.84794071908969),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6973155357,41.8479407199
610155,SAUGANASH,"6040 N KILPATRICK AVE, 60646",POINT (-87.7459514407369 41.991169254647716),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7459514407,41.9911692558
610157,SAWYER,"5248 S SAWYER AVE, 60632",POINT (-87.705005776945 41.79749820140965),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7050057773,41.7974982024
610158,SAYRE,"1850 N NEWLAND AVE, 60707",POINT (-87.79872070752097 41.91415063018207),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7987207074,41.914150631
610159,SCAMMON,"4201 W HENDERSON ST, 60641",POINT (-87.73217878127026 41.941677606774384),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7321787809,41.9416776075
610178,SCHMID,"9755 S GREENWOOD AVE, 60628",POINT (-87.5969318782002 41.716988869843405),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5969318776,41.7169888706
610311,SCHOOL OF ENTRP HS,"7627 S CONSTANCE AVE, 60649",POINT (-87.57964399964169 41.756196939381255),HS,"10, 11, 12",High School,-87.5796439992,41.7561969403
610297,SCHOOL OF LEADRSHP HS,"7627 S CONSTANCE AVE, 60649",POINT (-87.57964399964169 41.756196939381255),HS,"10, 11, 12","District, non-alternative",-87.5796439992,41.7561969403
610296,SCHOOL OF TECHNOLOGY HS,"7529 S CONSTANCE AVE, 60649",POINT (-87.5796831480614 41.75795677086671),HS,"10, 11, 12",High School,-87.5796831481,41.7579567716
610310,SCHOOL OF THE ARTS HS,"7529 S CONSTANCE AVE, 60649",POINT (-87.5796831480614 41.75795677086671),HS,"10, 11, 12",High School,-87.5796831481,41.7579567716
610165,SCHUBERT,"2727 N LONG AVE, 60639",POINT (-87.76119047242375 41.93040331728372),ES,"PK, K, 1, 2, 3, 4, 5","District, non-alternative",-87.7611904724,41.9304033183
609729,SCHURZ HS,"3601 N MILWAUKEE AVE, 60641",POINT (-87.7356121128606 41.94636454636117),HS,"9, 10, 11, 12","District, non-alternative",-87.7356121125,41.9463645472
610548,STEM ES,"1522 W FILLMORE ST, 60607",POINT (-87.66496912801087 41.8685758794565),ES,"K, 1, 2, 3","District, non-alternative",-87.6649691277,41.8685758806
610377,SENN AA,"5900 N GLENWOOD AVE, 60660",POINT (-87.66522476263331 41.9890324472425),HS,"9, 10",High School,-87.6652247623,41.9890324482
609730,SENN HS,"5900 N GLENWOOD AVE, 60660",POINT (-87.66522476263331 41.9890324472425),HS,"9, 10, 11, 12","District, non-alternative",-87.6652247623,41.9890324482
610167,SEWARD,"4600 S HERMITAGE AVE, 60609",POINT (-87.66877200796098 41.81033323560329),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6687720082,41.8103332365
610169,SEXTON,"6020 S LANGLEY AVE, 60637",POINT (-87.60863289649349 41.785182814055474),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6086328961,41.7851828146
400073,SHABAZZ CHTR-DUSABLE,"4934 S WABASH AVE, 60615",POINT (-87.62444722509098 41.80455816435276),HS,"9, 10, 11, 12",Charter,-87.624447225,41.8045581656
400072,SHABAZZ CHTR-SHABAZZ,"7823 S ELLIS AVE, 60619",POINT (-87.60025455081409 41.75245848833246),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6002545508,41.7524584892
400074,SHABAZZ CHTR-SIZEMORE,"6936 S HERMITAGE AVE, 60636",POINT (-87.66763900242688 41.76739011056316),ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.667639002,41.7673901115
