the_geom,School_ID,Y,X,School_Typ,Grade_Cat,Grades,SCH_ADDR,SCHOOL_NM
POINT (-87.73599882158966 41.92791840231072),609716,1916889.51303,1146796.5622,Traditional,HS,"7, 8, 9, 10, 11, 12","4343 W WRIGHTWOOD AVE, 60639",KELVYN PARK HS
POINT (-87.7808397551086 41.7899612521533),609718,1866536.56387,1134917.8996,Traditional,HS,"9, 10, 11, 12","6325 W 56TH ST, 60638",KENNEDY HS
POINT (-87.66895268958682 41.95476406721259),609719,1926806.38198,1164965.40808,Traditional,HS,"9, 10, 11, 12","4015 N ASHLAND AVE, 60613",LAKE VIEW HS
POINT (-87.69101262674111 41.94664457419042),609720,1923801.86666,1158987.12345,Traditional,HS,"7, 8, 9, 10, 11, 12","2501 W ADDISON ST, 60618",LANE TECH HS
POINT (-87.69989559044011 41.870938955765155),609722,1896196.72076,1156774.31521,Traditional,HS,"9, 10, 11, 12","2935 W POLK ST, 60612",MANLEY HS
POINT (-87.70805006977712 41.878444085129374),609723,1898915.29275,1154533.41254,Traditional,HS,"9, 10, 11, 12","3250 W ADAMS ST, 60624",MARSHALL HS
POINT (-87.7024963956971 41.98758868185385),609724,1938698.86541,1155753.20636,Traditional,HS,"9, 10, 11, 12","5835 N LINCOLN AVE, 60659",MATHER HS
POINT (-87.66565754522058 41.6920350088894),609725,1831076.09706,1166605.69384,Traditional,HS,"7, 8, 9, 10, 11, 12","1744 W PRYOR AVE, 60643",MORGAN PARK HS
POINT (-87.61635260657202 41.692762528429355),609726,1831449.42965,1180069.73778,Traditional,HS,"7, 8, 9, 10, 11, 12","250 E 111TH ST, 60628",BROOKS HS
POINT (-87.61979634572873 41.82387996738068),609727,1879219.72354,1178732.89793,Traditional,HS,"9, 10, 11, 12","244 E PERSHING RD, 60653",PHILLIPS HS
POINT (-87.71481861559978 41.96482788378516),609728,1930380.29183,1152463.084,Traditional,HS,"8, 9, 10, 11, 12","3436 W WILSON AVE, 60625",ROOSEVELT HS
POINT (-87.73561211048235 41.94636454274745),609729,1923612.05635,1146854.92822,Traditional,HS,"9, 10, 11, 12","3601 N MILWAUKEE AVE, 60641",SCHURZ HS
POINT (-87.66713618982065 41.98902853847887),609730,1939296.35142,1165362.41286,Traditional,HS,"9, 10, 11, 12","5900 N GLENWOOD AVE, 60660",SENN HS
POINT (-87.78351523288265 41.93563358725084),609732,1919614.44131,1133848.33055,Traditional,HS,"9, 10, 11, 12","3030 N MOBILE AVE, 60634",STEINMETZ HS
POINT (-87.66919214534073 42.002687558010145),609733,1944269.44121,1164764.87337,Traditional,HS,"9, 10, 11, 12","6631 N BOSWORTH AVE, 60626",SULLIVAN HS
POINT (-87.79154724941422 41.98296098619859),609734,1936846.77364,1131553.87779,Traditional,HS,"7, 8, 9, 10, 11, 12","6530 W BRYN MAWR AVE, 60631",TAFT HS
POINT (-87.64296648354815 41.80751007096626),609735,1873203.01675,1172465.49314,Traditional,HS,"9, 10, 11, 12","4747 S UNION AVE, 60609",TILDEN HS
POINT (-87.71338625328654 41.97318504807329),609737,1933428.49242,1152830.59869,Traditional,HS,"9, 10, 11, 12","5039 N KIMBALL AVE, 60625",VON STEUBEN HS
POINT (-87.64600935976243 41.91826831075271),609738,1913556.44949,1171312.78449,Traditional,HS,"9, 10, 11, 12","2001 N ORCHARD ST, 60614",LINCOLN PARK HS
POINT (-87.53757030027741 41.688136935625785),609739,1829952.86046,1201602.2623,Traditional,HS,"9, 10, 11, 12","3535 E 114TH ST, 60617",WASHINGTON HS
POINT (-87.66748286896365 41.89899470698043),609740,1906487.02695,1165523.02343,Traditional,HS,"9, 10, 11, 12","936 N ASHLAND AVE, 60622",WELLS HS
POINT (-87.71801374323086 41.780526386627955),609741,1863214.93009,1152075.55754,Traditional,HS,"9, 10, 11, 12","6200 S HAMLIN AVE, 60629",HUBBARD HS
POINT (-87.72238621544285 41.98297252121619),609744,1936977.51124,1150357.81459,Specialty,HS,"9, 10, 11, 12","3730 W BRYN MAWR AVE, 60659",NORTHSIDE LEARNING HS
POINT (-87.67594676756123 41.75985242841147),609745,1855766.41481,1163606.76611,Specialty,HS,"11, 12","7342 S HOYNE AVE, 60636",SOUTHSIDE HS
POINT (-87.59042088945237 41.803772118508014),609746,1871960.37979,1186802.91919,Traditional,HS,"7, 8, 9, 10, 11, 12","5015 S BLACKSTONE AVE, 60615",KENWOOD HS
POINT (-87.6952610158806 41.84253334794401),609748,1885855.14531,1158113.52381,Options,HS,"9, 10, 11, 12","2700 S CALIFORNIA AVE, 60608",YORK HS
POINT (-87.70870780077357 41.98131528213096),609749,1936400.42906,1154081.20019,Traditional,HS,"9, 10, 11, 12","5501 N KEDZIE AVE, 60625",NORTHSIDE PREP HS
POINT (-87.6687222293137 41.86436548208224),609750,1893865.5558,1165283.33789,Options,HS,"6, 7, 8, 9, 10, 11, 12","1321 S PAULINA ST, 60608",SIMPSON HS
POINT (-87.60387386164147 41.81367545211025),609751,1875537.68793,1183104.35244,Traditional,HS,"9, 10, 11, 12","4445 S DREXEL BLVD, 60653",KING HS
POINT (-87.71776967268775 41.69122074178622),609753,1830673.3728,1152374.8765,Traditional,HS,"9, 10, 11, 12","3857 W 111TH ST, 60655",CHICAGO AGRICULTURE HS
POINT (-87.61921554223582 41.83055497708962),609754,1881653.38567,1178870.98525,Traditional,HS,"9, 10, 11, 12","3519 S GILES AVE, 60653",CHICAGO MILITARY HS
POINT (-87.6642333434002 41.878602532328486),609755,1899063.01194,1166465.63113,Traditional,HS,"7, 8, 9, 10, 11, 12","211 S LAFLIN ST, 60607",YOUNG HS
POINT (-87.72204165467807 41.803060206697396),609756,1871418.25916,1150918.57397,Traditional,HS,"9, 10, 11, 12","4959 S ARCHER AVE, 60632",CURIE HS
POINT (-87.68690614585311 41.9026257915793),609759,1907769.7524,1160225.18002,Traditional,HS,"9, 10, 11, 12","1147 N WESTERN AVE, 60622",CLEMENTE HS
POINT (-87.59062038515513 41.65628995142258),609760,1818218.85604,1187212.24744,Traditional,HS,"9, 10, 11, 12","13100 S DOTY AVE, 60627",CARVER MILITARY HS
POINT (-87.60121587665988 41.70665961641773),609761,1836548.13894,1184160.81785,Traditional,HS,"9, 10, 11, 12","821 E 103RD ST, 60628",CORLISS HS
POINT (-87.65374921077066 41.705858935588914),609762,1836138.80019,1169818.37081,Traditional,HS,"9, 10, 11, 12","10330 S ELIZABETH ST, 60643",JULIAN HS
POINT (-87.66433930958303 41.85267013572381),609764,1889613.07284,1166510.41352,Traditional,HS,"9, 10, 11, 12","1450 W CERMAK RD, 60608",JUAREZ HS
POINT (-87.76466317336318 41.960363795857305),609766,1928659.65025,1138917.95722,Specialty,HS,"9, 10, 11, 12","4355 N LINDER AVE, 60641",VAUGHN HS
POINT (-87.64124410920577 41.793553466470584),609768,1868121.08859,1172976.01706,Traditional,HS,"10, 11, 12","5515 S LOWE AVE, 60621",HOPE HS
POINT (-87.62531481527424 41.84967541708467),609769,1888607.05287,1177151.28462,Specialty,HS,"9, 10, 11, 12","2347 S WABASH AVE, 60616",GRAHAM HS
POINT (-87.53297604181783 41.69873879907316),609772,1833827.68277,1202821.23689,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","10810 S AVENUE H, 60617",ADDAMS
POINT (-87.65622866744738 41.93412629749406),609773,1919313.00458,1168485.841,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2851 N SEMINARY AVE, 60657",AGASSIZ
POINT (-87.65065315649788 41.83385390882868),609777,1882785.84797,1170293.58377,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","950 W 33RD PL, 60608",ARMOUR
POINT (-87.6844418273605 42.01014998373587),609779,1946957.01655,1160599.34988,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2110 W GREENLEAF AVE, 60645",ARMSTRONG G
POINT (-87.72174231678147 41.91604463306548),609780,1912590.04722,1150706.91428,Traditional,HS,"7, 8, 9, 10, 11, 12","1920 N HAMLIN AVE, 60647",MARINE LEADERSHIP AT AMES HS
POINT (-87.68104105313787 41.94506222430422),609782,1923245.74015,1161704.19413,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3500 N HOYNE AVE, 60618",AUDUBON
POINT (-87.68041755457105 41.867832284629486),609783,1895104.40601,1162088.02604,Options,HS,"6, 7, 8, 9, 10, 11, 12","1100 S HAMILTON AVE, 60612",JEFFERSON HS
POINT (-87.59165381085134 41.74824699397219),609786,1851724.50721,1186641.26466,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8045 S KENWOOD AVE, 60619",AVALON PARK
POINT (-87.65807422406259 41.705131011309035),609788,1835864.26301,1168639.44896,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","10354 S CHARLES ST, 60643",BARNARD
POINT (-87.73938835103296 41.93251058278424),609789,1918556.50314,1145862.60836,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6","2828 N KILBOURN AVE, 60641",BARRY
POINT (-87.67092712872531 41.75419384978611),609790,1853714.98453,1164992.17279,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","7650 S WOLCOTT AVE, 60620",BARTON
POINT (-87.65353242019691 41.77424645004429),609791,1861059.00987,1169680.7182,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1140 W 66TH ST, 60621",BASS
POINT (-87.70215096179008 41.95821983888024),609792,1927997.41962,1155925.96881,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4220 N RICHMOND ST, 60618",BATEMAN
POINT (-87.64745284245632 41.78494237979363),609793,1864969.6966,1171307.97905,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6006 S PEORIA ST, 60621",NICHOLSON
POINT (-87.70930366577336 41.97150609649997),609794,1932824.73543,1153945.22736,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","4929 N SAWYER AVE, 60625",EDISON
POINT (-87.77041752738367 41.867812567517284),609795,1894923.62324,1137574.22336,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1045 S MONITOR AVE, 60644",CLARK ES
POINT (-87.75756503918218 41.97239394466906),609796,1933056.37243,1140819.06857,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5025 N LARAMIE AVE, 60630",BEAUBIEN
POINT (-87.70585481200737 41.885321039474746),609797,1901425.60925,1155112.92745,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3151 W WALNUT ST, 60612",BEIDLER
POINT (-87.73401972967199 41.95893849363402),609798,1928197.06621,1147256.08195,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4257 N TRIPP AVE, 60641",BELDING
POINT (-87.68601824433433 41.9495297982333),609799,1924863.47248,1160337.86254,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","3730 N OAKLEY AVE, 60618",BELL
POINT (-87.61739045570121 41.71043494844108),609800,1837886.69236,1179732.74829,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","10115 S PRAIRIE AVE, 60628",BENNETT
POINT (-87.66496784467402 41.95078051805864),609803,1925363.19097,1166060.63522,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1420 W GRACE ST, 60613",BLAINE
POINT (-87.69746282205826 42.00341160727272),609804,1944474.95327,1157078.8543,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6710 N WASHTENAW AVE, 60645",BOONE
POINT (-87.66936564961709 41.74933916080359),609805,1851949.26463,1165431.88713,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","7931 S HONORE ST, 60620",JOPLIN
POINT (-87.5571419710349 41.754365131246374),609806,1854036.97502,1196038.88957,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","7736 S BURNHAM AVE, 60649",BRADWELL
POINT (-87.70873128447809 41.75345719265228),609807,1853369.39992,1154678.9444,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","3434 W 77TH ST, 60652",HAMPTON
POINT (-87.63363213619498 41.686659969507105),609808,1829186.92564,1175368.43616,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","11411 S EGGLESTON AVE, 60628",HALEY
POINT (-87.69629419836866 41.9309660958041),609809,1918077.86892,1157592.77289,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2723 N FAIRFIELD AVE, 60647",BRENTANO
POINT (-87.79866892056614 41.94911438626606),609810,1924500.79145,1129694.55637,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3800 N NEW ENGLAND AVE, 60634",BRIDGE
POINT (-87.56208422999353 41.699726221063116),609811,1834114.95975,1194868.74197,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","10740 S CALHOUN AVE, 60617",BRIGHT
POINT (-87.67068239048238 41.88299678413438),609812,1900650.64656,1164696.99326,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","54 N HERMITAGE AVE, 60612",BROWN W
POINT (-87.62174596836614 41.77162035907393),609813,1860172.22161,1178359.14277,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6","6741 S MICHIGAN AVE, 60637",BROWNELL
POINT (-87.57607485712315 41.76084747994678),609815,1856353.05176,1190852.10007,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","7355 S JEFFERY BLVD, 60649",BOUCHET
POINT (-87.69655603218193 41.97575432973367),609817,1934398.31922,1157400.25752,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2701 W FOSTER AVE, 60625",BUDLONG
POINT (-87.78269957086374 41.91759813746918),609818,1913043.73004,1134112.46617,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2035 N MOBILE AVE, 60639",BURBANK
POINT (-87.6161405235956 41.79675956372592),609819,1869345.48148,1179811.81441,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5356 S KING DR, 60615",BURKE
POINT (-87.66985312412211 41.937937473581265),609820,1920672.8224,1164767.94719,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1630 W BARRY AVE, 60657",BURLEY
POINT (-87.56713059136543 41.71440206175561),609821,1839450.37362,1193443.04994,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","9928 S CRANDON AVE, 60617",BURNHAM
POINT (-87.60743532128883 41.72848063790991),609827,1844485.10732,1182395.49494,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","650 E 91ST PL, 60619",BURNSIDE
POINT (-87.66866060377357 41.912357907271925),609828,1911354.0976,1165164.65998,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1621 W WABANSIA AVE, 60622",BURR
POINT (-87.69245662922816 41.82886790652319),609829,1880881.20382,1158914.82635,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3542 S WASHTENAW AVE, 60632",BURROUGHS
POINT (-87.76560565853956 41.89766257161412),609830,1905809.54602,1138812.90395,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","932 N CENTRAL AVE, 60651",BRUNSON
POINT (-87.7915444826982 41.79503096443681),609832,1868365.3509,1131987.01209,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","5329 S OAK PARK AVE, 60638",BYRNE
POINT (-87.58072902767272 41.73922635448458),609833,1848463.35297,1189651.21369,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8546 S CREGIER AVE, 60617",CALDWELL
POINT (-87.71731895269359 41.84369811757608),609834,1886235.70164,1152100.05192,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2620 S LAWNDALE AVE, 60623",LITTLE VILLAGE
POINT (-87.71792663520327 41.90379211711643),609835,1908132.65456,1151777.46792,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1234 N MONTICELLO AVE, 60651",CAMERON
POINT (-87.8292957010156 41.948007027273874),609836,1924046.78382,1121365.51398,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3740 N PANAMA AVE, 60634",CANTY
POINT (-87.59079500925881 41.78336832270084),609837,1864524.47439,1186765.1358,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1414 E 61ST PL, 60637",CARNEGIE
POINT (-87.69601207513412 41.742516625773),609839,1849408.21493,1158179.05321,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2929 W 83RD ST, 60652",CARROLL
POINT (-87.68779954321866 41.79327214337314),609842,1867919.80979,1160281.50832,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5516 S MAPLEWOOD AVE, 60629",CARSON
POINT (-87.62245275191152 41.78982790446188),609844,1866805.33039,1178111.49301,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5740 S MICHIGAN AVE, 60637",CARTER
POINT (-87.59951563220227 41.65370211546621),609845,1817255.06696,1184789.44192,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","901 E 133RD PL, 60827",CARVER G
POINT (-87.60647384691308 41.65740496962151),609848,1818588.2221,1182876.49496,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","630 E 131ST ST, 60827",ALDRIDGE
POINT (-87.70321548828544 41.6873470545929),609849,1829290.59506,1156360.30915,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","11314 S SPAULDING AVE, 60655",CASSELL
POINT (-87.65097986936915 41.952809511187816),609850,1926132.54737,1169859.81561,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","832 W SHERIDAN RD, 60613",GREELEY
POINT (-87.6952593685406 41.866435251350666),609851,1894564.93235,1158049.24999,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2745 W ROOSEVELT RD, 60608",CHALMERS
POINT (-87.68326359190789 41.97589429991424),609852,1934476.47327,1161014.32083,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2135 W FOSTER AVE, 60625",CHAPPELL
POINT (-87.69456225149781 41.91799265283444),609853,1913353.83343,1158099.26663,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2021 N POINT ST, 60647",CHASE
POINT (-87.68893676245328 41.89671268815487),609854,1905610.85875,1159688.57283,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2450 W RICE ST, 60622",CHOPIN
POINT (-87.68560700306816 41.80165862417512),609855,1870980.28661,1160856.37102,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","5042 S ARTESIAN AVE, 60632",CHRISTOPHER
POINT (-87.54461359769068 41.654558148396525),609856,1817699.49521,1199790.45457,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","13231 S BURLEY AVE, 60633",CLAY
POINT (-87.70644252546367 41.95204212082533),609857,1925737.67021,1154775.16435,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3121 W BYRON ST, 60618",CLEVELAND
POINT (-87.69835995432015 41.99254135950569),609859,1940511.95923,1156864.38819,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6110 N FAIRFIELD AVE, 60659",CLINTON
POINT (-87.6808967872205 41.693026005644974),609861,1831405.30999,1162440.7937,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","2350 W 110TH PL, 60643",CLISSOLD
POINT (-87.56596977182141 41.74141280641801),609862,1849295.64921,1193672.24174,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8441 S YATES BLVD, 60617",COLES
POINT (-87.681938049323 41.89956577485199),609863,1906664.91242,1161586.10512,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1003 N LEAVITT ST, 60622",COLUMBUS
POINT (-87.65977458980146 41.74523702141981),609864,1850474.82565,1168060.78706,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8150 S BISHOP ST, 60620",COOK
POINT (-87.67776251685315 42.01708759096721),609865,1949498.96094,1162395.23408,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","7414 N WOLCOTT AVE, 60626",JORDAN
POINT (-87.68376530076175 41.95555319469823),609866,1927063.05502,1160934.09298,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","4046 N LEAVITT ST, 60618",COONLEY
POINT (-87.66722708445998 41.85603119195194),609867,1890831.7164,1165714.16445,Traditional,ES,"PK, K, 1, 2, 3, 4, 5","1624 W 19TH ST, 60608",COOPER
POINT (-87.65716920537632 41.78468086054669),609869,1864853.41205,1168658.80194,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6010 S THROOP ST, 60636",LANGFORD
POINT (-87.73119286568263 41.84560242144964),609870,1886902.81316,1148314.84197,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2510 S KILDARE AVE, 60623",CORKERY
POINT (-87.6856765978834 41.688190837411916),609871,1829633.5865,1161148.59156,Early Childhood,ES,PK,"2554 W 113TH ST, 60655",VICK
POINT (-87.65798012769622 41.85602872248889),609872,1890850.4949,1168233.28901,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1241 W 19TH ST, 60608",PEREZ
POINT (-87.71247015061276 41.85266348767926),609873,1889512.16523,1153397.62806,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2128 S SAINT LOUIS AVE, 60623",CROWN
POINT (-87.84104144264982 41.973714776786956),609874,1933396.18803,1118116.44174,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8601 W FOSTER AVE, 60656",DIRKSEN
POINT (-87.70541291384822 41.923322716802375),609875,1915274.30563,1155131.89297,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3116 W BELDEN AVE, 60647",DARWIN
POINT (-87.70020216026171 41.82185161377397),609876,1878308.84774,1156822.68716,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3014 W 39TH PL, 60632",DAVIS N
POINT (-87.71735342363266 41.74507775134669),609879,1850299.05107,1152348.15575,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3810 W 81ST PL, 60652",DAWES
POINT (-87.7046185932244 42.00928855699754),609880,1946602.18884,1155118.1886,Traditional,ES,"K, 1, 2, 3, 4, 5, 6","7030 N SACRAMENTO AVE, 60645",DECATUR
POINT (-87.62334458926513 41.76249026346902),609883,1856841.68201,1177950.52548,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","7240 S WABASH AVE, 60619",DENEEN
POINT (-87.81313152528315 41.94255166950198),609884,1922085.11386,1125774.80142,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3436 N OSCEOLA AVE, 60634",DEVER
POINT (-87.6426515784289 41.79564568303255),609885,1868880.39252,1172586.08641,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5415 S UNION AVE, 60609",DEWEY
POINT (-87.6099788745453 41.74366924135812),609887,1850013.84331,1181654.66965,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8306 S SAINT LAWRENCE AVE, 60619",DIXON
POINT (-87.61227454299049 41.83112062833841),609891,1881875.30846,1180760.92078,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","535 E 35TH ST, 60616",DOOLITTLE
POINT (-87.78760442131032 41.78095446341107),609893,1863242.77945,1133093.96395,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6108 S NATOMA AVE, 60638",DORE
POINT (-87.6285534465876 41.84404331209266),609894,1886547.47136,1176285.74994,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2710 S DEARBORN ST, 60616",DRAKE
POINT (-87.63016447885606 41.725609215693005),609895,1843387.28799,1176199.71763,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","9300 S PRINCETON AVE, 60620",TURNER-DREW
POINT (-87.67449459893486 41.915913801094945),609896,1912637.61701,1163566.76619,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1845 W CORTLAND ST, 60622",DRUMMOND
POINT (-87.67554666012475 41.78122517253027),609897,1863555.3054,1163656.36542,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2040 W 62ND ST, 60636",EARLE
POINT (-87.70795263348174 41.774420451594345),609898,1861009.7721,1154835.87125,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","3400 W 65TH PL, 60629",EBERHART
POINT (-87.81116978485632 42.004407921137776),609899,1944629.00939,1126171.12084,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","7350 W PRATT AVE, 60631",EBINGER
POINT (-87.6216526075813 41.68541839968939),609900,1828761.3179,1178644.31674,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","32 E 115TH ST, 60628",CURTIS
POINT (-87.7618404744351 41.99943683277353),609901,1942903.14769,1139590.68684,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","6525 N HIAWATHA AVE, 60646",EDGEBROOK
POINT (-87.63430552125133 41.669444022412314),609902,1822912.17343,1175235.39935,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","12339 S NORMAL AVE, 60628",METCALFE
POINT (-87.72585617790203 41.805541539105775),609903,1872315.06741,1149872.14988,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4815 S KARLOV AVE, 60632",EDWARDS
POINT (-87.76658937771538 41.88552957975924),609904,1901386.52665,1138574.2896,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","243 N PARKSIDE AVE, 60644",ELLINGTON
POINT (-87.7158044315032 41.87574412263659),609907,1897916.1412,1152428.73663,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3600 W 5TH AVE, 60624",ERICSON
POINT (-87.66915866999116 41.68941960556063),609908,1830115.6856,1165656.80925,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1865 W MONTVALE AVE, 60643",ESMOND
POINT (-87.68131030372447 41.83155516065107),609909,1881883.28679,1161945.23334,Traditional,ES,"PK, K, 1, 2, 3, 4, 5","3419 S BELL AVE, 60608",EVERETT
POINT (-87.74933062514465 41.93578457297129),609910,1919730.96634,1143149.17546,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6","3020 N LAMON AVE, 60641",FALCONER
POINT (-87.7660716581908 41.979790054887566),609912,1935736.11445,1138488.00237,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5414 N LINDER AVE, 60630",FARNSWORTH
POINT (-87.64041364558067 41.71118362225583),609917,1838108.07283,1173444.21002,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","10041 S UNION AVE, 60628",FERNWOOD
POINT (-87.66998540067715 42.00966385468162),609918,1946809.97977,1164529.56643,Traditional,ES,"5, 6, 7, 8","7019 N ASHLAND AVE, 60626",FIELD
POINT (-87.60863289647321 41.78518281585605),609919,1865144.15524,1181894.5422,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6020 S LANGLEY AVE, 60637",FISKE
POINT (-87.70511207710514 41.85077148359955),609920,1888837.30503,1155407.3104,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2233 S KEDZIE AVE, 60623",KANOON
